#
# MI and Cosines
#
#
# mi	rmi	cos-mi	cos-rmi
1.156312	2.252526	0.682073	0.762042
-1.08761	-0.19309	-0.08445	0.185577
1.415848	2.612145	0.709182	0.783953
-1.34807	0.480510	-0.15041	0.101764
-0.34470	0.361790	-0.29351	-0.19882
-3.04489	-2.69196	-0.26919	-0.28867
-3.59879	-1.38708	-0.35015	-0.33325
-3.25062	-2.03248	-0.34271	-0.32324
0.768404	2.915173	0.778075	0.811950
-0.45964	0.953626	0.356456	0.526743
-0.47080	2.204564	0.377515	0.528344
-0.66636	1.092709	0.298630	0.495004
-3.69169	-2.05881	-0.32300	-0.20674
-3.90687	-2.61897	-0.36554	-0.35198
2.294686	3.598161	0.855139	0.899874
2.193963	3.496617	0.731718	0.787639
-1.84168	-1.68962	-0.06377	0.008294
-1.00558	0.290759	0.166686	0.391542
-3.97127	-2.88960	-0.33841	-0.32322
-3.68442	-1.69828	-0.33507	-0.11165
1.391491	1.682694	0.128707	0.269916
-2.07710	-1.78364	-0.03228	0.126213
-2.99559	-2.23801	-0.31956	-0.25607
-1.90304	-0.41505	-0.25694	-0.05657
0.834084	2.906972	0.711388	0.748560
-1.11366	-0.05911	0.077722	0.315936
-2.17469	-0.96851	-0.03749	0.196493
-3.00749	-1.63029	-0.27968	-0.11433
-4.05838	-1.92874	-0.35577	-0.15599
-0.93429	-0.38216	0.147236	0.350614
